locus_tag	ftype	length_bp	gene	EC_number	COG	product
CPJADAKE_00001	CDS	1446	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
CPJADAKE_00002	CDS	732	cpsB	3.1.3.48	COG4464	Tyrosine-protein phosphatase CpsB
CPJADAKE_00003	CDS	693	ywqC		COG3944	putative capsular polysaccharide biosynthesis protein YwqC
CPJADAKE_00004	CDS	690	cpsD	2.7.10.2		Tyrosine-protein kinase CpsD
CPJADAKE_00005	CDS	1368				hypothetical protein
CPJADAKE_00006	CDS	1179				hypothetical protein
CPJADAKE_00007	CDS	1194				hypothetical protein
CPJADAKE_00008	CDS	972	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
CPJADAKE_00009	CDS	1233				hypothetical protein
CPJADAKE_00010	CDS	1386				hypothetical protein
CPJADAKE_00011	CDS	1149	tagF	2.7.8.12	COG1887	Teichoic acid poly(glycerol phosphate) polymerase
CPJADAKE_00012	CDS	1029				hypothetical protein
CPJADAKE_00013	CDS	705		2.7.7.-	COG1213	CTP:phosphoglutamine cytidylyltransferase
CPJADAKE_00014	CDS	834	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
CPJADAKE_00015	CDS	870	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
CPJADAKE_00016	CDS	594	rfbC	5.1.3.-		Protein RmlC 
CPJADAKE_00017	CDS	1050	rmlB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
CPJADAKE_00018	CDS	852	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
CPJADAKE_00019	CDS	312				hypothetical protein
CPJADAKE_00020	CDS	159				hypothetical protein
CPJADAKE_00021	CDS	1983	sarA_1		COG4166	Oligopeptide-binding protein SarA
CPJADAKE_00022	CDS	5304		3.2.1.97		Endo-alpha-N-acetylgalactosaminidase
CPJADAKE_00023	CDS	2160	ponA		COG0744	Penicillin-binding protein 1A
CPJADAKE_00024	CDS	597	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
CPJADAKE_00025	CDS	528				hypothetical protein
CPJADAKE_00026	CDS	330	gpsB		COG3599	Cell cycle protein GpsB
CPJADAKE_00027	CDS	1158	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
CPJADAKE_00028	CDS	1395	mapZ			Mid-cell-anchored protein Z
CPJADAKE_00029	CDS	1425	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
CPJADAKE_00030	CDS	690	arlR_1		COG0745	Response regulator ArlR
CPJADAKE_00031	CDS	1020				hypothetical protein
CPJADAKE_00032	CDS	1233				hypothetical protein
CPJADAKE_00033	CDS	453				hypothetical protein
CPJADAKE_00034	CDS	330				hypothetical protein
CPJADAKE_00035	CDS	879	galK_1	2.7.1.6		Galactokinase
CPJADAKE_00036	CDS	954				hypothetical protein
CPJADAKE_00037	CDS	1008		2.7.4.2		Phosphomevalonate kinase
CPJADAKE_00038	CDS	1011	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
CPJADAKE_00039	CDS	699	liaF		COG4758	Protein LiaF
CPJADAKE_00040	CDS	996				hypothetical protein
CPJADAKE_00041	CDS	633	liaR		COG2197	Transcriptional regulatory protein LiaR
CPJADAKE_00042	CDS	243				hypothetical protein
CPJADAKE_00043	CDS	915				hypothetical protein
CPJADAKE_00044	CDS	1284	tig	5.2.1.8	COG0544	Trigger factor
CPJADAKE_00045	CDS	2367	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
CPJADAKE_00046	CDS	615	spsB	3.4.21.89		Signal peptidase IB
CPJADAKE_00047	CDS	882	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
CPJADAKE_00048	CDS	303				hypothetical protein
CPJADAKE_00049	CDS	549				hypothetical protein
CPJADAKE_00050	CDS	2337	mutS2	3.1.-.-		Endonuclease MutS2
CPJADAKE_00051	CDS	1323	alsT		COG1115	Amino-acid carrier protein AlsT
CPJADAKE_00052	CDS	549				hypothetical protein
