locus_tag	ftype	length_bp	gene	EC_number	COG	product
EJKBOHLF_00001	CDS	396	queF	1.7.1.13		NADPH-dependent 7-cyano-7-deazaguanine reductase
EJKBOHLF_00002	CDS	315	trxA		COG0526	Thioredoxin
EJKBOHLF_00003	CDS	222				hypothetical protein
EJKBOHLF_00004	CDS	381				hypothetical protein
EJKBOHLF_00005	CDS	954				hypothetical protein
EJKBOHLF_00006	CDS	519	sstT_1		COG3633	Serine/threonine transporter SstT
EJKBOHLF_00007	CDS	444	sstT_2		COG3633	Serine/threonine transporter SstT
EJKBOHLF_00008	CDS	561	ykuT		COG0668	putative MscS family protein YkuT
EJKBOHLF_00009	CDS	909				hypothetical protein
EJKBOHLF_00010	CDS	528	gph_1	3.1.3.18		Phosphoglycolate phosphatase
EJKBOHLF_00011	CDS	1107	yqeH		COG1161	putative protein YqeH
EJKBOHLF_00012	CDS	312	yhbY		COG1534	RNA-binding protein YhbY
EJKBOHLF_00013	CDS	630	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
EJKBOHLF_00014	CDS	594				hypothetical protein
EJKBOHLF_00015	CDS	501	sttH	3.5.2.19		Streptothricin hydrolase
EJKBOHLF_00016	CDS	354	rsfS		COG0799	Ribosomal silencing factor RsfS
EJKBOHLF_00017	CDS	747	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
EJKBOHLF_00018	CDS	1098	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
EJKBOHLF_00019	CDS	255				hypothetical protein
EJKBOHLF_00020	CDS	255	yoeB	3.1.-.-	COG4115	Toxin YoeB
EJKBOHLF_00021	CDS	1614	rny	3.1.-.-	COG1418	Ribonuclease Y
EJKBOHLF_00022	CDS	627	gmk	2.7.4.8		Guanylate kinase
EJKBOHLF_00023	CDS	315	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
EJKBOHLF_00024	CDS	2397	priA	3.6.4.-	COG1198	Primosomal protein N'
EJKBOHLF_00025	CDS	936	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
EJKBOHLF_00026	CDS	1314	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
EJKBOHLF_00027	CDS	741	phpP	3.1.3.16	COG0631	Protein phosphatase PhpP
EJKBOHLF_00028	CDS	1980	stkP	2.7.11.1	COG0515	Serine/threonine-protein kinase StkP
EJKBOHLF_00029	CDS	759	yjjP		COG2966	Inner membrane protein YjjP
EJKBOHLF_00030	CDS	450				hypothetical protein
EJKBOHLF_00031	CDS	390			COG3039	IS5 family transposase IS1381
EJKBOHLF_00032	CDS	249				hypothetical protein
EJKBOHLF_00033	CDS	1173	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
EJKBOHLF_00034	CDS	1275	mvaA	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
EJKBOHLF_00035	CDS	966	degA		COG1609	HTH-type transcriptional regulator DegA
EJKBOHLF_00036	CDS	1455	scrB	3.2.1.26		Sucrose-6-phosphate hydrolase
EJKBOHLF_00037	CDS	1884				hypothetical protein
EJKBOHLF_00038	CDS	888	gmuE	2.7.1.4	COG1940	Putative fructokinase
EJKBOHLF_00039	CDS	618				hypothetical protein
EJKBOHLF_00040	CDS	894		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
EJKBOHLF_00041	CDS	1200	yhaP		COG1668	putative protein YhaP
EJKBOHLF_00042	CDS	768				hypothetical protein
EJKBOHLF_00043	CDS	696	skfE	7.3.2.3	COG1131	SkfA peptide export ATP-binding protein SkfE
EJKBOHLF_00044	CDS	366	ytrA		COG1725	HTH-type transcriptional repressor YtrA
EJKBOHLF_00045	CDS	474	nrdR		COG1327	Transcriptional repressor NrdR
EJKBOHLF_00046	CDS	1170				hypothetical protein
EJKBOHLF_00047	CDS	897	dnaI		COG1484	Primosomal protein DnaI
EJKBOHLF_00048	CDS	714	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
EJKBOHLF_00049	CDS	1311	der		COG1160	GTPase Der
EJKBOHLF_00050	CDS	336				hypothetical protein
EJKBOHLF_00051	CDS	336				hypothetical protein
EJKBOHLF_00052	CDS	792				hypothetical protein
EJKBOHLF_00053	CDS	642				hypothetical protein
EJKBOHLF_00054	CDS	633	bcrA_1			Bacitracin transport ATP-binding protein BcrA
EJKBOHLF_00055	CDS	288				hypothetical protein
EJKBOHLF_00056	CDS	2514	secA		COG0653	Protein translocase subunit SecA
EJKBOHLF_00057	CDS	1032	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
EJKBOHLF_00058	CDS	1032	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
EJKBOHLF_00059	CDS	369	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
EJKBOHLF_00060	CDS	1104	alr	5.1.1.1	COG0787	Alanine racemase
EJKBOHLF_00061	CDS	2016	recG	3.6.4.12		ATP-dependent DNA helicase RecG
EJKBOHLF_00062	CDS	981	axeA	3.1.1.41	COG3458	Cephalosporin-C deacetylase
EJKBOHLF_00063	CDS	228				hypothetical protein
EJKBOHLF_00064	CDS	2898	nanA_1	3.2.1.18	COG4409	Sialidase A
EJKBOHLF_00065	CDS	453				hypothetical protein
EJKBOHLF_00066	CDS	1338				hypothetical protein
EJKBOHLF_00067	CDS	885	ycjO		COG1175	Inner membrane ABC transporter permease protein YcjO
EJKBOHLF_00068	CDS	834	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
EJKBOHLF_00069	CDS	2094	nanB_1	3.2.1.18	COG4409	Sialidase B
EJKBOHLF_00070	CDS	1104	yjhC_1	1.-.-.-	COG0673	putative oxidoreductase YjhC
EJKBOHLF_00071	CDS	699	nanE_1	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
EJKBOHLF_00072	CDS	1518	ptsG_1	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
EJKBOHLF_00073	CDS	1329				hypothetical protein
EJKBOHLF_00074	CDS	888	lacF_1			Lactose transport system permease protein LacF
EJKBOHLF_00075	CDS	840	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
EJKBOHLF_00076	CDS	453	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
EJKBOHLF_00077	CDS	345				hypothetical protein
EJKBOHLF_00078	CDS	645				hypothetical protein
